permiso_mod;permisos;size;directorio
rwxr-xr-x;drwxr-xr-x;113152;regularizarPlanes/
rwxr-xr-x;drwxr-xr-x;512;reportesReforma/
rwxrwxr-x;drwxrwxr-x;1024;sea_notificador_java/
rwxrwxrwx;drwxrwxrwx;512;segmentacion_abonados_version2/
rwxrwxrwx;drwxrwxrwx;19968;shell/
rwxrwxrwx;drwxrwxrwx;7168;sql/
rwxr-xr-x;drwxr-xr-x;512;sqls/
rwxr-xr-x;drwxr-xr-x;512;temp/
rwxr-xr-x;drwxr-xr-x;2048;tmp/
rwxrwxrwx;drwxrwxrwx;512;ventcuot_shell/
